annotation_id,record_id,brand_target,raw_text,processed_text,label_BATTERY_CHARGING_polarity,label_SOFTWARE_TECHNOLOGY_polarity,label_PERFORMANCE_DRIVING_polarity,label_DESIGN_INTERIOR_polarity,label_SERVICE_AFTERSALES_polarity,label_PRICE_VALUE_polarity
ANN_00000,0c5bf2e1084bab3af85cbd5a0ad5dffee76ee9fbf81c31fd6be064aaab8d67eb,VinFast,Con này so với vf6 k có cửa từ ngoại thất và nội thất. Còn vận hành ngang nhau nhưng giá thì cao hơn vf6 . Trạm sạc k . Bảo dưỡng hậu mãi kém. Nói chung chờ ngày rút ống thở. Khổ ôg nào mua về dùng sau này mà thay pin như bên thái thì chắc khóc thét,so VinFast_VF6 không c_a ngoại_thất và nội_thất vận_hành ngang nhưng giá cao VinFast_VF6 trạm_sạc không bảo_dưỡng dịch_vụ_sau_bán nói_chung chờ ngày rút ống thở khổ_ôg mua dùng sau_này thay pin bên thái chắc khóc thét,,,,,,
ANN_00001,f7e33236fd6c22373c5875273120c31a5b98569cfd5b55846537299adac4a6ff,VinFast,"100km , nói lướt hơi nhanh, đang dùng đây 70 ổn định thôi, 100 gặp ông bà sớm, dễ lật",100 km nói lướt hơi nhanh dùng đây 70 ổn_định thôi 100 gặp ông_bà sớm dễ lật,,,,,,
ANN_00002,b783c6f05a26d66cbd9660e5b92c2a265a8c68aa17d420a62c95642b770d1442,VinFast,toàn xe đi dưới 80km 1 lần sạc :V làm xe 100 km 1 lần sạc khó thế sao :V,80 km sạc làm 100 km sạc khó th,,,,,,
ANN_00003,400a3e5a43be668f8b1c217cc1e5dc33017f0cd5059bb4b498e29955078bb300,VinFast,Bộ sạc di động VinFast giao chậm 1 tuần nhưng chất lượng ổn.,bộ sạc di_động VinFast giao chậm tuần nhưng chất_lượng ổn,,,,,,
ANN_00004,5bb711384d4eb28ff38802318d3273cbbb3da1328b4a3211600221c1e0d27c31,VinFast,Thêm nhiều trạm sạc này và cư điện công cộng ko còn xe máy nữa mới sạch sẽ hiện đại,trạm_sạc và cư_điện công_cộng không xe_máy mới sạch_sẽ hiện_đại,,,,,,
ANN_00005,66235a044fab7cf0f2d02700b59120d3ced7d7e83baec1e7ae2d780865439823,VinFast,Lúc thay pin thì ối zời ôi,thay pin ối zời ôi,,,,,,
ANN_00006,692c5b2b0085058b594a15668d37d52d94f1022fec7fc057149a1b52f7e459ec,VinFast,"So sánh thì thứ nhất phải cùng hệ quy chiếu là phân khúc xe. Thứ 2 là phải so sánh các chi phí bao gồm chi phí lăn bánh, chi phí nhiên liệu và chi phí bảo dưỡng. Thứ 3, không thể tính tiền thuê pin vào chi phí nhiên liệu, vì pin là 1 bộ phận cấu thành xe vì thế nên chuyển nó vào chi phí bảo dưỡng và so sánh trên bản mua pin. Giá thuê pin sẽ thay đổi theo năm tùy chính sách của vinfast trong khi chi phí mua pin là cố định. Vf5 được định vị là SUV hạng A nên so sánh với các xe cùng phân khúc như Sonet hay Raize. Đồng thời giá trị xe cũng tương đương với những xe trên nên bác so sánh VF5 thuê pin với Kia morning gần như không có giá trị tham khảo",so_sánh phải hệ quy_chi_u phân_khúc phải so_sánh chi_phí bao_gồm chi_phí lăn bánh chi_phí nhiên_liệu và chi_phí bảo_dưỡng không_thể tính tiền thuê pin chi_phí nhiên_liệu pin bộ_phận cấu_thành th chuyển nó chi_phí bảo_dưỡng và so_sánh bản mua pin giá thuê pin thay_đổi năm tùy chính_sách VinFast chi_phí mua pin cố_định VinFast_VF5 định_vị suv hạng so_sánh phân_khúc sonet raize đồng_thời giá_trị tương_đương bác so_sánh VinFast_VF5 thuê pin morning gần không giá_trị tham_khảo,,,,,,
ANN_00007,3b61d4e07684bd8c6e927e43b2b5754c11e14d0244fbd6a32ee7a933e664d797,VinFast,"Tôi rất vui khi thấy các dòng xe ở Việt Nam, Vinfast không cắt giảm thứ gì cả, toàn để loại xịn nhất, tuy giá có cao nhưng chính sách bảo hành, dịch vụ cũng như hỗ trợ tài chính rất tuyệt vời. Còn các xe đang giới thiệu ở Indonesia và Philipin, bạn có thể thấy, vì để cạnh tranh giá với xe tàu tại đây mà Vinfast đã phải lược bỏ rất nhiều tính năng để giảm giá thành xuống mức có thể cạnh tranh được. Ở Việt Nam, Vinfast dành những gì tốt nhất vì ít nhất Vinfast đang có lợi thế sân nhà, ưu thế trạm sạc, xưởng dịch vụ, cũng như niềm tin người tiêu dùng. Xe Vinfast chắc bền thì có lẽ không còn phải bàn cãi nữa. Sang đầu năm sau, khi VF3 lăn bánh nhiều thì mức độ phổ biến của xe Vinfast càng rộng, hi vọng sẽ là mẫu xe quốc dân.",tôi rất vui_lòng dòng việt_nam VinFast không cắt_giảm xịn giá cao nhưng chính_sách bảo_hành dịch_vụ hỗ_trợ tài_chính rất tuyệt_vời giới_thiệu indonesia và philipin có_thể cạnh_tranh giá xe_trung_quốc đây VinFast phải lược bỏ rất tính_năng khuy n_mãi thành mức có_thể cạnh_tranh việt_nam VinFast dành tốt ít_nhất VinFast lợi th sân nhà ưu_th trạm_sạc xưởng_s a_chữa dịch_vụ niềm tin tiêu_dùng VinFast chắc_bền có_lẽ không phải bàn_cãi sang đầu năm VinFast_VF3 lăn bánh mức_độ phổ_bi_n VinFast càng rộng hi_vọng mẫu quốc_dân,,,,,,
ANN_00008,8ef2c06a2febdf7392aa282a16f623a096e5f54fac4c1177317b5ac700e9e976,VinFast,"Cách đây 4 tháng, ngóng chờ video này của a để chốt vf5 mà ko thấy, đến giờ đã gắn bó với e nó 14k km, ko hề thấy thất vọng hay hối tiếc mà hoàn toàn ngược lại khi quyết định bán đi 1 chiếc sedan hạng C để qua 1 chiếc xe hạng A, điều mà ko một chiếc xe máy xăng hạng A nào làm được",cách đây tháng ngóng chờ video chốt VinFast_VF5 không giờ gắn_bó nó 14 km không hề thất_vọng hối_hối_ti hoàn_toàn ngược_lại quy_t định bán chi sedan hạng chi hạng điều không chi xe_máy xăng hạng làm,,,,,,
ANN_00009,c581ad6d7457e72bdf4dc2534928464f97b8c37a7a98fb9ba0476870a2abd9e1,VinFast,Sau này có nhà có chỗ sạc sẽ đổi con mazda ghẻ sang con này mới đc😢,sau_này nhà chỗ sạc đổi mazda ghẻ sang mới,,,,,,
ANN_00010,cbce6d99243d4f4b55269b24b86f6806e78156589ff8d35ce457c2dc73e34ed0,VinFast,300 cây 1 lấn sạc mới ngon nếu bỏ xe máy thì phải đi đường dài,300 cây lấn sạc mới ngon n_u bỏ xe_máy phải đường dài,,,,,,
ANN_00011,f54fbcc33a96fa3ba2e02c562f9735725927e43ec4a12d607fe3930c86bd8c3b,VinFast,"Tui đi xe xăng 1 tháng hết có 120k tiền xăng, ma xe điện này luôn giá thue pin là 189k-350k thi thoi dẹp đi xe xăng cho lành, chua kể xe nay 1 lan xạc chay co 100km xe tui ablack moi lần đổ chạy 160km",tui xăng tháng 120 tiền xăng ma xe_điện giá thue pin 189 350 thi thoi dẹp xăng lành_chua kể nay lan xạc chay co 100 km tui ablack moi đổ chạy 160 km,,,,,,
ANN_00012,dab82f07d66fd2b469a8eda35473b1669e87412fa9aa75c5ebc968720f1dfad4,VinFast,Tại sao pin nhỏ hơn mà quãng đường đi lại được dài hơn? (thực tế các reviewer đã thử nghiệm) ^^,tại_sao pin nhỏ quãng đường đi_lại dài thực_t reviewer th_nghiệm,,,,,,
ANN_00013,e722a3542f04fae3f10d0b392776786556e5b4d5351bef5d5667d3b449c5b2d3,VinFast,"Quãng đường dự kiến tăng lên 440km với 100% pin nữa đó b, nhưng ko rõ thực tế có đi được như vậy không. Bạn thử sạc đầy chạy 1 lần hỗn hợp xem có được vậy không nhé.",quãng đường dự_ki tăng 440 km 100 pin nhưng không rõ thực_t như_vậy không th sạc đầy chạy hỗn_hợp xem không,,,,,,
ANN_00014,2a89f39b6ea4b3c6daa552967a094d3edbb102b8d7ef85b43271cfd2e0167006,VinFast,So sánh chi phí nhiên liệu thì xe điện phải tính cả chi phí hao mòn thay pin nữa. Đừng so sánh nguyên tiền xăng với tiền sạc điện như thế không đúng đâu. Nó k mang lại tính khách quan khi so sánh.,so_sánh chi_phí nhiên_liệu xe_điện phải tính chi_phí hao_mòn thay pin đừng so_sánh nguyên tiền xăng tiền sạc điện th không đúng đâu nó không mang tính khách_quan so_sánh,,,,,,
ANN_00015,030e33ce802feff324ecdc8a3bb8f6356d2605f5ff3f1f3d245fd951310725d6,VinFast,"Sao khoang máy xe điện lại chứa 1 cục acquy phèn đến như vậy, Tất cả điện phải được trích xuất từ pin ra chứ, sao lại làm ngược đời như vậy.
Mong Tipcar tìm hiểu kĩ về công dụng của bình acquy đó",khoang máy xe_điện chứa cục acquy phèn như_vậy tất_cả điện phải trích_xuất pin chứ làm ngược_đời như_vậy mong tipcar tìm_hiểu kĩ công_dụng bình_acquy,,,,,,
ANN_00016,5f82b63038a6f52a5076507b1f6272f4d0ac1a5389ccee3aae97cf5c684225ca,VinFast,"Về Pin thì nhà sản xuất nên bọc bên ngoài là cát, hay keo hay chất chống cháy ,...để tăng độ an toàn khi vận hành.",pin nhà_sản_xuất bọc bên ngoài cát keo chất chống cháy tăng độ an_toàn vận_hành,,,,,,
ANN_00017,7ee350704534248833de94bdefe1e0e882c5a521e17534c754ac246c9eb9ce1e,VinFast,"Hè này chạy dịch vụ, thấy các bác lái xe điện cũng than vụ điều hoà không mát và pin hao hơn tầm 5 chục km so với mùa đông",hè chạy dịch_vụ bác lái_xe_điện than_vụ điều_hòa không mát và pin_hao tầm chục km so mùa đông,,,,,,
ANN_00018,2e0c95a01293ae61f503eee4540b88a7c5e5a8c85259a63e9521c7219a2291f8,VinFast,"Nên chọn mua pin hay thuê pin với VF3 ạ , thanks ad",chọn mua pin thuê pin VinFast_VF3 thanks ad,,,,,,
ANN_00019,fd995acec6931ed33536cac2ad3747c9d138594e8aeaef18f0907bdfb9d62ad7,VinFast,Hôm nay đổi giá thuê pin rồi. 350k chạy đc 500km.phải cân nhắc lại nên mua không?,hôm_nay đổi giá thuê pin 350 chạy 500 km phải cân_nhắc mua không,,,,,,
ANN_00020,625bac6f619fe31a86b4f30a84059d498853a809c00c26c36ae8f227deb3e4b3,VinFast,Lùa gà để bán sạc đó,lùa gà bán sạc,,,,,,
ANN_00021,586381e62225f7f42caab8208cdf01c3a510f41cb742fbedbf7d8756486c521f,VinFast,chiều qua anh đi sạc xe và đi thể dục  ah xem hết video của em luôn nhưng bằng máy nhà đất tây nguyên .xe anh chạy khoảng 600_ 700 đồng em ạ .vậy là cũng quá là rẻ rồi .1000km hết có 700k tiền điện,chiều_qua anh sạc và thể_dục xem t_video em nhưng bằng máy nhà_đất tây_nguyên anh chạy khoảng 600 _ 700 đồng em rẻ 1000 km 700 tiền điện,,,,,,
ANN_00022,256f276c16f8f20866f0aa816d27e85bd57c92a0e0f5b74f79c0009fc0710658,VinFast,"Tôi coi để pin ntn, b làm video xe điện mà v tôi thấy k ổn",tôi coi pin ntn làm video xe_điện tôi không ổn,,,,,,
ANN_00023,29c92d6a2f0df6834ad9b854f2593a8d76991467169a83ca50072fee38798a97,VinFast,Xe này đi 1km tốn 1nghìn700 đồng chi phí thuê pin và điện mà thôi. Nếu dc như vậy là quá tốt,km tốn nghìn700 đồng chi_phí thuê pin và điện thôi n_u như_vậy tốt,,,,,,
ANN_00024,bafbd24ad14eb919e2932a10f97f8b7c1ce4ea36352f7fc311dde7ca37f61aab,VinFast,em từng nằm vùng lái thử vf8 dc 2 tháng và đây là trải nghiệm cá nhân của em là thực sự nói rẻ thì ko rẻ hơn bao nhiêu trên mạng chủ yếu là khoe chi phí sạc trụ chứ họ ko nói là chi phí sạc trụ + phí thuê pin mỗi tháng em thấy nó cũng ko rẻ hơn con mer glk 250 4matic 2014 của em bao nhiêu vs một lần sạc nhà thì cả tối tính ra muốn nữa ngày sạc tru thì phải tìm nơi có sạc ra đó thì cả tiếng còn phải chờ tới lượt ko như xe xăng vào hô đầy bình 5 7 phút tính tiền rồi đi rẻ hơn dc tí tiền mà bất tiện đủ thứ,em từng nằm vùng lái th VinFast_VF8 tháng và đây trải_nghiệm cá_nhân em thực_sự nói rẻ không rẻ bao_nhiêu mạng chủ y_u khoe chi_phí sạc_trụ chứ họ không nói chi_phí sạc trụ phí thuê pin mỗi tháng em nó không rẻ mer glk 250 matic 2014 em bao_nhiêu vs sạc nhà tối_tính muốn ngày sạc_tru phải tìm sạc ti_ng phải chờ tới lượt không xăng hô đầy bình phút tính tiền rẻ tí tiền bất_tiện đủ,,,,,,
ANN_00025,7dc127147f215c522552636d2ec729274d678db5abd860b8d7d532e15dfb3a8a,VinFast,Chỉ chưa có Adas và hỗ trợ giữ làn đường,chưa hệ_thống_hỗ_trợ_lái và hỗ_trợ giữ_làn_đường đường,,,,,,
